                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
0,2.8197,3.5172,3.6509,0.00532,0.90267,0.01091,0.00431,3.18,4.4342,3.7673,0.00066061,0.00066061,0.00066061
1,2.2148,2.2598,2.839,0.87391,0.71156,0.87678,0.4073,1.7845,1.6602,2.6222,0.0013141,0.0013141,0.0013141
2,1.8091,1.6598,2.4654,0.93041,0.83786,0.90692,0.48172,1.6459,1.2083,2.1223,0.0019545,0.0019545,0.0019545
3,1.6169,1.3777,2.2449,0.94032,0.92441,0.9711,0.50353,1.5638,1.2758,2.1381,0.0019406,0.0019406,0.0019406
4,1.5637,1.2619,2.1617,0.95378,0.884,0.96734,0.53576,1.674,0.97301,2.1671,0.0019406,0.0019406,0.0019406
5,1.5378,1.2007,2.1073,0.9678,0.96186,0.98212,0.51511,1.5227,1.1053,1.9546,0.0019208,0.0019208,0.0019208
6,1.4805,1.1443,2.0396,0.96578,0.94667,0.979,0.56018,1.3693,1.0483,1.7937,0.001901,0.001901,0.001901
7,1.4602,1.076,2.0119,0.9839,0.96533,0.99057,0.53205,1.5835,0.81084,1.9239,0.0018812,0.0018812,0.0018812
8,1.3921,1.0023,1.9572,0.98256,0.97733,0.99092,0.54129,1.5947,0.79377,2.051,0.0018614,0.0018614,0.0018614
9,1.4196,0.99843,1.9514,0.99421,0.98933,0.991,0.59665,1.4061,0.72867,1.8429,0.0018416,0.0018416,0.0018416
10,1.4165,0.95759,1.9565,0.98538,0.98844,0.9877,0.55904,1.4715,0.80636,1.7962,0.0018218,0.0018218,0.0018218
11,1.3996,0.92647,1.9333,0.98347,0.98667,0.98678,0.5819,1.4005,0.91113,1.7702,0.001802,0.001802,0.001802
12,1.369,0.94319,1.9098,0.97256,0.99228,0.97641,0.55023,1.4469,0.79867,1.8774,0.0017822,0.0017822,0.0017822
13,1.354,0.89047,1.884,0.99465,0.99206,0.99451,0.60837,1.3017,0.79982,1.7194,0.0017624,0.0017624,0.0017624
14,1.3323,0.83456,1.8745,0.99069,0.99318,0.99336,0.62131,1.3087,0.75941,1.7172,0.0017426,0.0017426,0.0017426
15,1.3175,0.81664,1.8445,0.98251,0.97369,0.98843,0.58735,1.4577,0.68611,1.8586,0.0017228,0.0017228,0.0017228
16,1.337,0.82694,1.8531,0.96798,0.948,0.98788,0.59625,1.3698,0.89278,1.755,0.001703,0.001703,0.001703
17,1.3024,0.79063,1.8216,0.988,0.98776,0.98969,0.60285,1.3618,0.6601,1.7979,0.0016832,0.0016832,0.0016832
18,1.3193,0.79581,1.8497,0.99175,0.97733,0.99404,0.63746,1.2766,0.63898,1.6558,0.0016634,0.0016634,0.0016634
19,1.2651,0.74266,1.793,0.99268,0.98533,0.99224,0.63817,1.2112,0.62291,1.6066,0.0016436,0.0016436,0.0016436
20,1.2534,0.72007,1.801,0.98627,0.99467,0.994,0.63305,1.3792,0.60532,1.7639,0.0016238,0.0016238,0.0016238
21,1.2542,0.73013,1.7708,0.99725,0.99867,0.99499,0.63217,1.2896,0.66723,1.7082,0.001604,0.001604,0.001604
22,1.2486,0.70287,1.7796,0.99466,0.99373,0.99485,0.64322,1.3253,0.59942,1.676,0.0015842,0.0015842,0.0015842
23,1.2325,0.68545,1.7756,0.997,0.99467,0.99493,0.6205,1.2574,0.53385,1.6508,0.0015644,0.0015644,0.0015644
24,1.25,0.67575,1.7619,0.98408,0.98914,0.99317,0.56772,1.4066,0.67998,1.8418,0.0015446,0.0015446,0.0015446
25,1.2418,0.67317,1.7592,0.98396,0.98147,0.99374,0.60609,1.4322,0.59846,1.8193,0.0015248,0.0015248,0.0015248
26,1.2146,0.65786,1.7421,0.99417,0.99333,0.99485,0.60227,1.3866,0.56132,1.7881,0.001505,0.001505,0.001505
27,1.2401,0.65609,1.7618,0.98241,0.99333,0.99267,0.61406,1.374,0.58034,1.813,0.0014852,0.0014852,0.0014852
28,1.2204,0.65345,1.7417,0.99703,0.992,0.9937,0.59905,1.3951,0.55871,1.79,0.0014654,0.0014654,0.0014654
29,1.2089,0.6328,1.7272,0.99203,0.99546,0.99449,0.60755,1.3938,0.56205,1.785,0.0014456,0.0014456,0.0014456
30,1.2078,0.62025,1.7174,0.99072,0.99649,0.99416,0.6208,1.4875,0.54122,1.8666,0.0014258,0.0014258,0.0014258
31,1.1976,0.62902,1.7296,0.99375,0.992,0.99484,0.65433,1.2604,0.56135,1.693,0.001406,0.001406,0.001406
32,1.1845,0.62316,1.7226,0.99103,0.99733,0.9948,0.63942,1.3598,0.51984,1.746,0.0013862,0.0013862,0.0013862
33,1.1899,0.61106,1.7013,0.99466,0.99287,0.99372,0.60243,1.3995,0.56052,1.8057,0.0013664,0.0013664,0.0013664
